epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1705.3,1.56393,4.16097,1.86758,0.47465,0.25873,0.25233,0.15709,1.63633,3.26123,2.01197,0.00331439,0.00331439,0.00331439
2,3481.24,1.51641,3.42164,1.82418,0.2484,0.38284,0.27944,0.15659,1.88794,3.12352,2.20134,0.00663456,0.00663456,0.00663456
3,5252.12,1.57712,3.11238,1.88536,0.25886,0.32651,0.20985,0.0915,2.10178,3.14384,2.48573,0.00994154,0.00994154,0.00994154
4,7021.6,1.67292,2.9503,1.97093,0.33864,0.33063,0.29097,0.15793,2.02017,3.57045,2.4006,0.0099406,0.0099406,0.0099406
5,8783.74,1.64118,2.68034,1.94718,0.40749,0.3764,0.31134,0.18714,1.87735,3.08842,2.30302,0.0099208,0.0099208,0.0099208
6,10546.4,1.58245,2.51317,1.90482,0.51076,0.35278,0.33929,0.19378,1.87869,2.88495,2.22415,0.009901,0.009901,0.009901
7,12306.7,1.53774,2.37941,1.86786,0.45206,0.45225,0.44688,0.27608,1.77856,2.47445,2.11401,0.0098812,0.0098812,0.0098812
8,14063.4,1.52037,2.29081,1.85685,0.56748,0.4487,0.46337,0.30534,1.73781,2.41344,2.09795,0.0098614,0.0098614,0.0098614
9,15819.1,1.50196,2.24602,1.83288,0.44689,0.4668,0.4445,0.2988,1.71147,2.42291,2.09249,0.0098416,0.0098416,0.0098416
10,17572.7,1.46383,2.18274,1.80803,0.41609,0.45947,0.42757,0.27419,1.80135,2.50086,2.15277,0.0098218,0.0098218,0.0098218
11,19026.9,1.45656,2.11399,1.78354,0.48765,0.47866,0.46997,0.31266,1.69861,2.31144,2.02835,0.009802,0.009802,0.009802
12,20181.5,1.42472,2.05534,1.7568,0.48625,0.52094,0.49438,0.31814,1.63639,2.33092,1.98186,0.0097822,0.0097822,0.0097822
13,21334.3,1.40954,2.00743,1.74449,0.52422,0.49644,0.51386,0.3513,1.58751,2.15818,1.96247,0.0097624,0.0097624,0.0097624
14,22488,1.3877,1.97365,1.71542,0.5406,0.44473,0.47459,0.31945,1.68134,2.42391,2.06208,0.0097426,0.0097426,0.0097426
15,23642,1.39506,1.96871,1.71615,0.57383,0.51336,0.54706,0.3605,1.5786,2.08574,1.92079,0.0097228,0.0097228,0.0097228
16,24795.5,1.37763,1.9385,1.71399,0.5654,0.54612,0.56282,0.37449,1.55235,1.99108,1.89415,0.009703,0.009703,0.009703
17,25949.2,1.35528,1.90607,1.68754,0.57036,0.53553,0.55208,0.37699,1.54454,2.03375,1.88568,0.0096832,0.0096832,0.0096832
18,27102.6,1.34261,1.84743,1.68176,0.53862,0.52552,0.53358,0.37301,1.57516,2.09939,1.91541,0.0096634,0.0096634,0.0096634
